symbol,value
–,0
‰,1
Š,2
•,3
ˆ,4
‹,5
ž,6
˜,7
“,8
†,9
‰,10
‰,11
‹,12
”,13
ž,14
š,15
ž,16
‚,17
’,18
Š,19
…,20
‹,21
‘,22
‘,23
—,24
Ÿ,25
ž,26
š,27
‘,28
†,29
…,30
Œ,31
˜,32
‚,33
†,34
‚,35
’,36
›,37
—,38
—,39
˜,40
›,41
ž,42
—,43
ˆ,44
™,45
Œ,46
‘,47
“,48
—,49
Š,50
‘,51
‰,52
–,53
Ÿ,54
œ,55
ƒ,56
˜,57
”,58
‰,59
˜,60
—,61
˜,62
‰,63
†,64
•,65
„,66
˜,67
…,68
š,69
‡,70
Œ,71
›,72
‡,73
‡,74
Œ,75
˜,76
›,77
Š,78
™,79
Ž,80
‘,81
†,82
ˆ,83
’,84
˜,85
€,86
”,87
Ÿ,88
›,89
‚,90
–,91
Š,92
‚,93
˜,94
—,95
•,96
€,97
€,98
Ž,99
š,100
‹,101
†,102
…,103
“,104
‡,105
”,106
Š,107
‚,108
‘,109
˜,110
€,111
”,112
Ÿ,113
‚,114
Ÿ,115
˜,116
€,117
…,118
’,119
Š,120
’,121
‘,122
Ÿ,123
“,124
“,125
‹,126
€,127
ƒ,128
Œ,129
š,130
•,131
š,132
‘,133
ƒ,134
š,135
™,136
…,137
„,138
’,139
’,140
‹,141
‚,142
’,143
†,144
Š,145
Ž,146
Ÿ,147
“,148
•,149
”,150
‡,151
…,152
Ž,153
•,154
Œ,155
“,156
…,157
˜,158
š,159
œ,160
“,161
‡,162
™,163
Ž,164
„,165
“,166
‡,167
†,168
‹,169
—,170
Œ,171
’,172
‹,173
‡,174
‹,175
š,176
…,177
ƒ,178
•,179
ž,180
ž,181
‚,182
”,183
Ž,184
“,185
‘,186
„,187
”,188
•,189
ƒ,190
’,191
…,192
‡,193
Ÿ,194
„,195
Œ,196
…,197
Š,198
ˆ,199
‰,200
—,201
Œ,202
‚,203
‚,204
•,205
—,206
‡,207
Œ,208
–,209
„,210
’,211
š,212
•,213
ƒ,214
™,215
—,216
‡,217
ž,218
‰,219
„,220
‰,221
’,222
‹,223
—,224
ž,225
–,226
€,227
…,228
‰,229
€,230
‡,231
„,232
“,233
‚,234
Œ,235
‰,236
™,237
š,238
–,239
—,240
’,241
–,242
‡,243
ƒ,244
•,245
‚,246
Œ,247
‡,248
Ž,249
•,250
…,251
’,252
‹,253
•,254
“,255
™,256
‡,257
‰,258
ˆ,259
„,260
Ž,261
–,262
”,263
…,264
˜,265
„,266
œ,267
Ÿ,268
˜,269
”,270
—,271
›,272
‘,273
‰,274
ˆ,275
Ž,276
€,277
ˆ,278
—,279
—,280
‚,281
ƒ,282
Œ,283
›,284
‡,285
‹,286
–,287
–,288
‰,289
‰,290
˜,291
Ÿ,292
‘,293
‡,294
‡,295
ž,296
›,297
‘,298
ˆ,299
™,300
›,301
‚,302
„,303
’,304
ƒ,305
ˆ,306
Ÿ,307
”,308
†,309
ƒ,310
Š,311
‘,312
‘,313
„,314
‘,315
™,316
™,317
•,318
…,319
–,320
˜,321
’,322
“,323
Š,324
’,325
“,326
‰,327
—,328
Š,329
—,330
‹,331
Ÿ,332
‹,333
‚,334
—,335
˜,336
ž,337
™,338
š,339
š,340
Ÿ,341
˜,342
‡,343
›,344
–,345
ž,346
‘,347
†,348
‡,349
Ÿ,350
š,351
Ž,352
Š,353
€,354
–,355
…,356
‚,357
–,358
”,359
ˆ,360
…,361
›,362
”,363
ž,364
†,365
†,366
‚,367
”,368
˜,369
„,370
Œ,371
—,372
ž,373
“,374
™,375
‘,376
˜,377
—,378
Ÿ,379
”,380
™,381
–,382
œ,383
–,384
“,385
–,386
”,387
Ÿ,388
™,389
˜,390
‰,391
ƒ,392
‚,393
ˆ,394
œ,395
‡,396
•,397
—,398
Ÿ,399
”,400
•,401
†,402
‚,403
ˆ,404
‡,405
’,406
‡,407
‡,408
Ž,409
‚,410
™,411
†,412
ž,413
‰,414
Ÿ,415
—,416
’,417
–,418
„,419
†,420
…,421
‡,422
›,423
‘,424
Ž,425
š,426
˜,427
’,428
œ,429
‰,430
Œ,431
‘,432
™,433
€,434
–,435
Š,436
•,437
Œ,438
Œ,439
Ÿ,440
—,441
‘,442
š,443
‡,444
š,445
„,446
‘,447
›,448
’,449
Š,450
†,451
›,452
‡,453
“,454
‚,455
ž,456
›,457
„,458
˜,459
•,460
š,461
ˆ,462
˜,463
›,464
Œ,465
€,466
Š,467
†,468
‰,469
„,470
–,471
‹,472
Š,473
…,474
Ÿ,475
‡,476
˜,477
„,478
Ž,479
”,480
“,481
‡,482
€,483
•,484
œ,485
ˆ,486
—,487
ˆ,488
”,489
‚,490
š,491
ˆ,492
Ÿ,493
•,494
Š,495
‡,496
•,497
ˆ,498
„,499
